"","NoteValue","Stress","Rest","Lyrics","Break","Rhythm","OTL","COM","ARE","Bar","Position"
"1.261","8","0",".","ain't",".",0.125,"BodakYellow","CardiB","New York","30",0
"1.263","8","1",".","got",".",0.125,"BodakYellow","CardiB","New York","31",0.125
"1.264","8","0",".","no",".",0.125,"BodakYellow","CardiB","New York","31",0.25
"1.265","8","1",".","time",".",0.125,"BodakYellow","CardiB","New York","31",0.375
"1.266","8","0",".","to",".",0.125,"BodakYellow","CardiB","New York","31",0.5
"1.267","4","1",".","chill",".",0.25,"BodakYellow","CardiB","New York","31",0.75
"1.268","8","1",".","Think","3",0.125,"BodakYellow","CardiB","New York","31",0.875
"1.269","8","0",".","these",".",0.125,"BodakYellow","CardiB","New York","31",0
"1.271","8","1",".","hoes",".",0.125,"BodakYellow","CardiB","New York","32",0.125
"1.272","8","0",".","be",".",0.125,"BodakYellow","CardiB","New York","32",0.25
"1.273","8","1",".","mad",".",0.125,"BodakYellow","CardiB","New York","32",0.375
"1.274","8","0",".","at",".",0.125,"BodakYellow","CardiB","New York","32",0.5
"1.275","8","1",".","me",".",0.125,"BodakYellow","CardiB","New York","32",0.625
"1.276","8","0",".","their","3",0.125,"BodakYellow","CardiB","New York","32",0.75
"1.277","8","1",".","ba-",".",0.125,"BodakYellow","CardiB","New York","32",0.875
"1.278","8","0",".","-by",".",0.125,"BodakYellow","CardiB","New York","32",0
"1.280","8","1",".","fa-",".",0.125,"BodakYellow","CardiB","New York","33",0.125
"1.281","8","0",".","-ther",".",0.125,"BodakYellow","CardiB","New York","33",0.25
"1.282","8","1",".","run",".",0.125,"BodakYellow","CardiB","New York","33",0.375
"1.283","8","0",".","a",".",0.125,"BodakYellow","CardiB","New York","33",0.5
"1.284","4","1",".","bill",".",0.25,"BodakYellow","CardiB","New York","33",0.75
"1.285","4",".","R",".",".",0.25,"BodakYellow","CardiB","New York","33",0
"2.6","2.",".","R",".",".",0.75,"ForMyPeople","JoeyBada$$","New York","1",0.75
"2.7","8",".","R",".",".",0.125,"ForMyPeople","JoeyBada$$","New York","1",0.875
"2.8","8","1",".","Uh",".",0.125,"ForMyPeople","JoeyBada$$","New York","1",0
"2.10","8.",".","R",".",".",0.1875,"ForMyPeople","JoeyBada$$","New York","2",0.1875
"2.11","16","0",".","now","3",0.0625,"ForMyPeople","JoeyBada$$","New York","2",0.25
"2.12","8","1",".","all",".",0.125,"ForMyPeople","JoeyBada$$","New York","2",0.375
"2.13","16","1",".","he-",".",0.0625,"ForMyPeople","JoeyBada$$","New York","2",0.4375
"2.14","16","0",".","-roes",".",0.0625,"ForMyPeople","JoeyBada$$","New York","2",0.5
"2.15","8","1",".","don't",".",0.125,"ForMyPeople","JoeyBada$$","New York","2",0.625
"2.16","8","0",".","wear",".",0.125,"ForMyPeople","JoeyBada$$","New York","2",0.75
"2.17","4","1",".","capes",".",0.25,"ForMyPeople","JoeyBada$$","New York","2",0
"2.19","8.",".","R",".",".",0.1875,"ForMyPeople","JoeyBada$$","New York","3",0.1875
"2.20","16","0",".","And","3",0.0625,"ForMyPeople","JoeyBada$$","New York","3",0.25
"2.21","8","1",".","all",".",0.125,"ForMyPeople","JoeyBada$$","New York","3",0.375
"2.22","16","1",".","vil-",".",0.0625,"ForMyPeople","JoeyBada$$","New York","3",0.4375
"2.23","16","0",".","-lains",".",0.0625,"ForMyPeople","JoeyBada$$","New York","3",0.5
"2.24","8","1",".","don't",".",0.125,"ForMyPeople","JoeyBada$$","New York","3",0.625
"2.25","16","1",".","get",".",0.0625,"ForMyPeople","JoeyBada$$","New York","3",0.6875
"2.26","16","0",".","a-",".",0.0625,"ForMyPeople","JoeyBada$$","New York","3",0.75
"2.27","4","1",".","-way",".",0.25,"ForMyPeople","JoeyBada$$","New York","3",0
"2.29","8.",".","R",".",".",0.1875,"ForMyPeople","JoeyBada$$","New York","4",0.1875
"2.30","16","0",".","But","3",0.0625,"ForMyPeople","JoeyBada$$","New York","4",0.25
"2.31","8","1",".","all",".",0.125,"ForMyPeople","JoeyBada$$","New York","4",0.375
"2.32","16","1",".","li-",".",0.0625,"ForMyPeople","JoeyBada$$","New York","4",0.4375
"2.33","16","0",".","-mits",".",0.0625,"ForMyPeople","JoeyBada$$","New York","4",0.5
"2.34","16","0",".","e-",".",0.0625,"ForMyPeople","JoeyBada$$","New York","4",0.5625
"2.35","16","1",".","-ven-",".",0.0625,"ForMyPeople","JoeyBada$$","New York","4",0.625
"2.36","16","0",".","-tual-",".",0.0625,"ForMyPeople","JoeyBada$$","New York","4",0.6875
"2.37","16","0",".","-ly",".",0.0625,"ForMyPeople","JoeyBada$$","New York","4",0.75
"2.38","8","1",".","fade",".",0.125,"ForMyPeople","JoeyBada$$","New York","4",0.875
"2.39","16","1",".","I","3",0.0625,"ForMyPeople","JoeyBada$$","New York","4",0.9375
